IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0120591	17022	"Armageddon"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	40	74	Upright	Rotten	151	1998	"PG-13"	Bruce Willis	Harry S. Stamper	Billy Bob Thornton	Dan Truman	Liv Tyler	Grace Stamper	Ben Affleck	A.J. Frost	Will Patton	Charles (Chick) Chapple	140000000	201573391	0	4	
0118158	10752	"White Squall"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	62	66	Upright	Fresh	127	1996	"PG-13"	Jeff Bridges	Sheldon "Skipper"	Caroline Goodall	Dr. Alice Sheldon	John Savage	McCrea	Scott Wolf	Chuck Gieg	Jeremy Sisto	Frank Beaumont	38000000	10300000	0	0	
0114709	9559	"Toy Story"	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	100	92	Upright	Certified Fresh	80	1995	"G"	Tom Hanks	Woody	Tim Allen	Buzz Lightyear	Don Rickles	Mr. Potato Head	Jim Varney	Slinky Dog	Wallace Shawn	Rex	30000000	30144903	1	3	
0091203	15929	"Highlander"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	67	80	Upright	Fresh	120	1986	"R"	Christopher Lambert	Connor MacLeod	Roxanne Hart	Brenda Wyatt	Clancy Brown	Kurgan	Sean Connery	Ramirez	Beatie Edney	Heather	16000000	5735847	0	0	
0092991	98831005	"Evil Dead 2"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	98	89	Upright	Certified Fresh	84	1987	"R"	Bruce Campbell	Ash Ashley J. Williams	Sarah Berry	Annie Knowby	Dan Hicks	Jake	Kassie Wesley	Bobby Joe	Theodore Raimi	Possessed Henrietta	3600000	10900000	0	0	
0090605	13240	"Aliens"	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	98	94	Upright	Certified Fresh	138	1986	"R"	Sigourney Weaver	Ellen Ripley	Carrie Henn	Newt	Michael Biehn	Cpl. Dwayne Hicks	Lance Henriksen	Bishop	Paul Reiser	Carter Burke	18500000	77632096	2	5	
0083658	12886	"Blade Runner"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	91	91	Upright	Certified Fresh	114	1982	"R"	Harrison Ford	Rick Deckard	Rutger Hauer	Roy Batty	Sean Young	Rachael	Edward James Olmos	Gaff	M. Emmet Walsh	Harry Bryant	28000000	32868943	0	2	
0070379	14993	"Mean Streets"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	98	85	Upright	Certified Fresh	112	1973	"R"	Robert De Niro	Johnny Boy	Harvey Keitel	Charlie	David Proval	Tony	Amy Robinson	Teresa	Richard Romanus	Michael	500000	32645	0	0	
0115641	10358	"Beavis and Butt-Head Do America"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	72	70	Upright	Fresh	80	1996	"PG-13"	Mike Judge	Beavis	Cloris Leachman	Old Woman On Phone And Bus	Robert Stack	Agent Fleming	Eric Bogosian	Lieutenant At Strategic Air Command	Richard Linklater	Tour Bus Driver	12000000	63071133	0	0	
0048424	18249	"The Night of the Hunter"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	98	91	Upright	Certified Fresh	93	1955	"PG"	Robert Mitchum	Preacher Harry Powell	Shelley Winters	Willa Harper	Lillian Gish	Rachel Cooper	Billy Chapin	John Harper	Evelyn Varden	Icey Spoon	795000		0	0	
0045917	22121	"Invaders from Mars"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	82	56	Spilled	Fresh	78	1953	"Unrated"	Helena Carter	Dr. Patricia Blake	Arthur Franz	Dr. Stuart Kelston	Jimmy Hunt	David Maclean	Leif Erickson	George MacLean	Hillary Brooke	Mary MacLean	290000		0	0	
0088683	11917	"Agnes of God"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	46	56	Spilled	Rotten	98	2002	"PG-13"	Jane Fonda	Dr. Martha Livingston	Anne Bancroft	Sister Miriam Ruth	Meg Tilly	Sister Agnes	Anne Pitoniak	Dr. Livingston's Mother	Winston Rekert	Detective Langevin			0	3	
0120347	11715	"Tomorrow Never Dies"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	57	54	Spilled	Rotten	119	1997	"PG-13"	Pierce Brosnan	James Bond	Jonathan Pryce	Elliot Carver	Michelle Yeoh	Wai Lin	Teri Hatcher	Paris Carver	Joe Don Baker	Wade	110000000	125332007	0	0	
0120694	16088	"Halloween H2O"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	52	49	Spilled	Rotten	86	1998	"R"	Jamie Lee Curtis	Keri Tate	Adam Arkin	Will	Josh Hartnett	John	Michelle Williams	Molly	Adam Hann-Byrd	Charles 'Charlie' Deveraux	17000000	55004135	0	0	
0124198	16423	"Very Bad Things"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	44	59	Spilled	Rotten	111	1998	"R"	Christian Slater	Robert Boyd	Cameron Diaz	Laura Garrety	Daniel Stern	Adam Berkow	Jeanne Tripplehorn	Lois Berkow	Jon Favreau	Kyle Fisher	10000000	9801782	0	0	
